provincia,predicted_date,target_temperature_2m_max,target_temperature_2m_min,target_temperature_2m_mean,target_precipitation_sum_pred
A Coruña,2025-02-25,8.726633015782628,6.453513499766917,10.750107542319096,1
Albacete,2025-02-25,7.0117826810039094,6.327021256223658,9.966161843541393,0
Alicante,2025-02-25,12.109533675311653,11.525761230898363,13.928927616947924,0
Almería,2025-02-25,11.545445044872192,9.775245515808843,13.12540656524103,0
Asturias,2025-02-25,7.0117826810039094,4.518711179252777,8.363764368945157,1
Badajoz,2025-02-25,9.083772944458955,6.729268322207877,10.937188433937578,1
Baleares,2025-02-25,12.2342320492472,11.525761230898363,14.62745033045739,0
Barcelona,2025-02-25,11.45351462642398,9.775245515808843,13.12540656524103,1
Burgos,2025-02-25,4.5222803590277145,2.8060960235759693,7.155515369448339,1
Cantabria,2025-02-26,8.726633015782628,6.4815486012546755,9.973629629952724,0
Castellón,2025-02-25,12.109533675311653,11.525761230898363,12.393234226220084,1
Ceuta,2025-02-26,13.437369971094029,12.83569121549489,14.077327604478862,0
Ciudad Real,2025-02-25,7.0117826810039094,6.1832005218802815,10.613774027562888,1
Cuenca,2025-02-26,4.449674329280753,2.5949664782839625,6.485233927906251,0
Cáceres,2025-02-25,8.726633015782628,6.222580011702806,9.633299402223347,1
Cádiz,2025-02-25,11.92103533243953,9.783710487021354,14.62745033045739,0
Córdoba,2025-02-25,10.164968554149638,9.757412648320262,13.910200115768554,0
Gipuzkoa,2025-02-26,13.224546082487759,11.525761230898363,11.579175644324405,0
Girona,2025-02-25,12.672503145989763,11.525761230898363,12.64795789572507,1
Granada,2025-02-25,7.0117826810039094,5.733310389212399,9.633299402223347,1
Guadalajara,2025-02-26,7.0117826810039094,4.511310394786335,7.99968208061039,0
Huelva,2025-02-25,10.800246126480657,9.769429255886378,13.133549497321985,1
Huesca,2025-02-25,5.836638928153865,5.681881929862484,9.973629629952724,1
Jaén,2025-02-25,9.13296412009658,7.782420022457607,10.90015608826571,1
La Rioja,2025-02-25,7.0117826810039094,5.895805782132368,9.966161843541393,1
Las Palmas,2025-02-25,16.924971435260456,17.353742352253608,17.835093851615625,0
León,2025-02-25,4.449674329280753,0.7732734366465099,5.45953821311897,1
Lleida,2025-02-25,9.39713806348184,7.86572337646848,12.332548182077108,1
Lugo,2025-02-25,5.053519511298379,3.92481035121361,7.890626481235069,1
Madrid,2025-02-25,7.086601373524555,4.822284476701501,9.41792493814405,1
Melilla,2025-02-25,15.05454707776767,14.527008899101867,14.654551463369515,1
Murcia,2025-02-25,11.65865377596588,9.775245515808843,13.129700861009406,0
Málaga,2025-02-25,13.41263304827432,11.617210881189589,14.62745033045739,1
Navarra,2025-02-26,6.439784488731611,4.248524339763409,7.890626481235069,0
Ourense,2025-02-25,5.811939058168409,5.681881929862484,9.966161843541393,1
Palencia,2025-02-25,4.480865868696032,2.7953213750135943,7.394344615902174,1
Pontevedra,2025-02-26,11.92103533243953,11.35879540508603,10.937188433937578,1
Salamanca,2025-02-26,7.0117826810039094,4.375968387171064,6.402407039890774,0
Santa Cruz de Tenerife,2025-02-26,16.585622894309175,15.797292178322719,17.79682059375304,1
Segovia,2025-02-26,7.0117826810039094,4.048868096680407,6.306523632045577,0
Sevilla,2025-02-26,11.545445044872192,9.775245515808843,13.133549497321985,0
Soria,2025-02-26,4.449674329280753,1.6160041903463347,4.478175547436292,0
Tarragona,2025-02-26,10.424679444892442,8.814415672911004,12.038127407564172,1
Teruel,2025-02-26,4.449674329280753,2.5949664782839625,6.426919537602554,0
Toledo,2025-02-26,7.086601373524555,5.096460698231093,9.14138092745807,0
Valencia,2025-02-26,11.282556572257626,9.775245515808843,13.133549497321985,1
Valladolid,2025-02-26,7.0117826810039094,3.69268996617382,6.392054949285421,0
Vizcaya,2025-02-25,8.726633015782628,6.8735422461962115,11.571802106363952,1
Zamora,2025-02-26,7.0117826810039094,4.219089605218218,6.3272334062480455,0
Zaragoza,2025-02-26,8.726633015782628,6.700371503161901,10.90015608826571,0
Álava,2025-02-26,8.297157845922362,5.90615166710348,7.99968208061039,0
Ávila,2025-02-25,4.449674329280753,0.730120332525548,5.41891303586492,1
